Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"Lot 42, rue des Faux-Trembles",239900$,Eastman,Estrie,-1,-1,-1,-1,-1,"95,305",-1,-1,-1,-1
"6165, chemin Aline",239900$,St-Damien,Lanaudière,3,2,-1,1,"1,000","33,819","1153,00$","103,00$","1300,00$",-1
"48, rue Roy",239900$,Victoriaville,Centre-du-Québec,4,2,-1,1,"1,278","6,727.77","2118,96$","111,97$","1099,25$","1156,43$"
"67, rue Bouladier",239900$,Gatineau (Buckingham),Outaouais,2,1,-1,2,"1,228","2,101.12","1669,90$","103,90$","1200,00$","600,00$"
"205-1410, rue Rochechouart",239900$,St-Jérôme (St-Jérôme),Laurentides,-1,1,-1,2,525,-1,"1934,00$","135,99$","400,00$","320,00$"
"1426, rue Dumas",239999$,St-Félicien,Saguenay-Lac-Saint-Jean,4,3,-1,2,"1,624","10,514","2491,00$","124,45$","3850,00$",-1
"2108, avenue de la Gare",239999$,Mascouche,Lanaudière,-1,1,-1,1,557,-1,"1785,57$","108,85$","55,00$","378,00$"
"184, rue Saint-Hilaire",240000$,East Angus,Estrie,3,1,1,2,"1,575",31x70,"1360,00$","75,00$","3264,00$","1802,00$"
"6389, rue du Courtil",240000$,Lebourgneuf,Québec Rive-Nord,2,1,1,2,942,"2,256.12","2134,36$","370,87$","960,00$",-1
"1585, rue Pierre-Beaumont",240000$,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),-1,-1,-1,-1,-1,"32,291.73","1333,93$","157,04$",-1,-1
"140, rue Durand",240000$,Ste-Émélie-De-L&#039;Énergie,Lanaudière,3,2,-1,1,960,"8,740.30","1100,00$","94,78$","2000,00$",-1
"15, avenue Villeneuve",240000$,Métabetchouan-Lac-à-la-Croix,Saguenay-Lac-Saint-Jean,4,1,1,2,"1,792","8,000","2503,76$","33,41$","1222,92$","956,00$"
"1085, boulevard Frontenac Ouest",240000$,Thetford Mines,Chaudière-Appalaches,4,1,-1,2,"2,045.14",139.99x85.30,"2085,00$","94,00$","2800,00$","850,00$"
"8280, avenue Royale",240000$,Château-Richer,Québec Rive-Nord,6,2,-1,-1,-1,"8,157.97","2690,00$","153,73$",-1,-1
", rue du Surplomb",240000$,Ste-Adèle,Laurentides,-1,-1,-1,-1,-1,"118,513","853,96$",-1,-1,-1
"429-25, rue des Mouettes",240000$,Beauport,Québec Rive-Nord,-1,1,-1,1,907,-1,"2357,00$","190,00$","740,00$","455,00$"
"2990, avenue de la Gare",240000$,Mascouche,Lanaudière,-1,1,-1,1,560,-1,"1760,00$","94,00$",-1,"230,00$"
"1773, boulevard Saint-Joseph Ouest",240000$,St-Majorique-De-Grantham,Centre-du-Québec,2,1,1,1,28.81x44.29,101.71x139.76,"1450,00$","135,00$","160,00$",-1
"587, rue des Chênes",242000$,St-Bernard,Chaudière-Appalaches,3,2,-1,1,918,"5,000",-1,-1,-1,-1
"1041-937, avenue Roland-Beaudin",242000$,Ste-Foy,Québec Rive-Nord,-1,1,-1,1,433,113,"2108,83$","124,37$","548,52$","292,55$"
"307-20, Côte de l'Église",242500$,Boischatel,Québec Rive-Nord,-1,1,-1,4,981,-1,"2400,00$","500,00$","450,00$",-1
"110, avenue Renaud",242500$,Laurierville,Centre-du-Québec,4,2,-1,1,890,12150,"1107,46$","95,30$","2000,00$","1080,00$"
rue Philippe Landry - À construire - Par Projets PRB,243000$,Montmagny,Chaudière-Appalaches,3,2,-1,1,851,"4,296",-1,-1,-1,-1
"1406-2, route Lallemand",243000$,Lévis,Québec Rive-Sud (Lévis),2,1,-1,1,"1,200",-1,"1977,79$","157,00$","732,00$","400,00$"
Le Quartier Montmartre - Unité 3½ - Par Groupe TRÉMÄ,243465$,St-Jérôme (St-Jérôme),Laurentides,-1,1,-1,1,-1,-1,-1,-1,-1,-1
"8965, 39e Avenue",244000$,St-Georges,Chaudière-Appalaches,4,1,1,1,1008,11500,"1771,00$","115,00$","2524,00$","872,00$"
"105-385, chemin Séguin",244000$,Coaticook,Estrie,2,1,-1,1,800,"9,775",-1,-1,"935,00$","763,00$"
"4365, avenue Lefebvre",244000$,Bécancour (St-Grégoire),Centre-du-Québec,2,2,-1,1,936,"7,031",-1,-1,-1,-1
"1-2-783, rue de la Vérendrye",244000$,Trois-Rivières (Trois-Rivières),Mauricie,6,2,1,-1,-1,5010.60,"2439,40$","116,57$","2600,00$",-1
"1703, rue des Pelouses",244900$,Ste-Julienne,Lanaudière,3,1,-1,1,1200,11000,"2892,51$","365,00$","1380,00$","125,00$"
"105-2305, rue de Bogota",244900$,Lebourgneuf,Québec Rive-Nord,2,1,1,1,1267,-1,"2619,95$","227,31$","1000,00$",-1
"102-7101, rue Saint-Zotique",245000$,Anjou,Montréal / l'Île,-1,1,-1,3,563,-1,"1385,00$","255,00$",-1,-1
"543, rue Principale Est",245000$,Ste-Agathe-Des-Monts,Laurentides,-1,-1,-1,-1,-1,"12,242","2122,03$","181,85$",-1,-1
chemin des Épinettes,245000$,Val-Des-Bois,Outaouais,-1,-1,-1,-1,-1,"43,560.00",-1,-1,-1,-1
"11, rue Saint-Joseph  Est",245000$,Rimouski (Rimouski),Bas-Saint-Laurent,5,3,-1,-1,-1,"4,816.85","2389,93$","424,15$","1726,43$","683,00$"
"23, avenue Fournier",245000$,Montmagny,Chaudière-Appalaches,3,1,-1,1,-1,519.22,"3781,24$","462,67$","1386,38$","521,00$"
"976-980, rue Notre-Dame",245000$,Donnacona,Portneuf,5,2,-1,2,"2,200","11,592.73","3095,00$","208,00$",-1,"4075,00$"
avenue Cantin - À construire - Par Construction CJP Inc.,245000$,Donnacona,Portneuf,3,2,-1,1,-1,-1,-1,-1,-1,-1
"308-308A, 4e Avenue",245000$,St-Paul-De-Montminy,Chaudière-Appalaches,4,2,-1,2,2114.03,5392.72,"3318,49$","76,12$","1948,00$","779,29$"
"259, 9e Rang Est",245000$,Wickham,Centre-du-Québec,-1,-1,-1,-1,-1,"494,045.19",-1,-1,-1,-1
Chemin des Perdrix,245000$,Stratford,Estrie,-1,-1,-1,-1,-1,"43,560.00",-1,-1,-1,-1
"26, chemin Éloi",245000$,Bury,Estrie,2,1,-1,1,-1,"12,109.40","1340,00$","450,00$","840,00$","425,00$"
"163, rue des Marronniers",245000$,Chertsey,Lanaudière,-1,-1,-1,-1,-1,"784,080.00","237,61$",-1,-1,-1
"3, rue Saint-Laurent",245000$,Sept-Iles,Côte-Nord,3,1,-1,1,"1,168","7,000","2563,34$","446,00$","2350,00$","1000,00$"
"221, 221A, 221B, Route 108",245000$,Beauceville,Chaudière-Appalaches,8,3,-1,-1,-1,"5,150.53",-1,-1,-1,-1
"756-764, rue Pelletier",245000$,Dolbeau-Mistassini,Saguenay-Lac-Saint-Jean,2,1,-1,-1,-1,"9,070.75",-1,-1,-1,-1
"2029, rue Notre-Dame Est",245000$,Thetford Mines,Chaudière-Appalaches,3,2,-1,1,26x38,54x110,"1879,00$","78,00$","1557,00$",-1
"1295, 114e Rue",245000$,Shawinigan (Shawinigan-Sud),Mauricie,4,2,-1,1,1129.62,6896.43,"2409,95$","95,88$",-1,-1
"1931, rue Deschênes",245000$,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,4,1,1,1,288.65,2441.34,"2659,12$","172,02$","2700,00$","1048,00$"
"118, 21e Avenue",245000$,Val-des-Sources,Estrie,-1,1,1,1,840,50x230,"1734,00$","66,00$","1127,00$",-1
Développement Cantin - Par Construction Mario Dion,245000$,Pont-Rouge,Portneuf,3,1,-1,1,-1,4225,-1,-1,-1,-1
"47, rue de Normandie",245000$,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,5,2,-1,1,970,"5,597",-1,-1,-1,-1
"302, rue Saint-Pierre",245900$,St-Raymond,Portneuf,3,2,1,2,1800,4025,"1924,00$","135,00$","1200,00$",-1
"550, chemin du Lac-Long",246000$,Blue Sea,Outaouais,-1,-1,-1,-1,-1,"3,580,944.19","278,00$","60,00$",-1,-1
"2072, 85e rue",246000$,St-Georges,Chaudière-Appalaches,2,2,1,2,1352,4740,"2180,72$","181,60$","1573,00$","1084,00$"
"8750, rue de la Comtoise",247000$,Neufchatel,Québec Rive-Nord,2,1,-1,1,994,-1,"1965,00$","164,00$","627,00$","507,00$"
"3007, rue du Rubis",247000$,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,3,2,-1,2,972,"4,032","2600,00$","300,00$","1300,00$","1300,00$"
"1-2646, chemin du Portage-des-Roches Sud",247500$,Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,2,1,-1,1,"1,033.33",-1,"2562,00$","184,00$","1380,00$",-1
"2, rue Anne-Hébert",248000$,St-Charles-Borromée,Lanaudière,-1,-1,-1,-1,-1,"16,345.00",-1,-1,-1,-1
"200-202, rue Papineau",248900$,Papineauville,Outaouais,5,2,-1,-1,-1,"11,786.48",-1,-1,-1,-1
rue Jennings - L'Innovateur - Par Construction C.R.D,248900$,Ste-Brigitte-De-Laval,Québec Rive-Nord,-1,1,-1,1,-1,1,-1,-1,-1,-1
"25, rue Jennings - Par Construction C.R.D",248900$,Ste-Brigitte-De-Laval,Québec Rive-Nord,2,1,1,2,"1,174","3,444.45",-1,-1,-1,-1
"101, rue Fraser",249000$,Matane,Bas-Saint-Laurent,-1,-1,-1,-1,-1,"9,902.80","3830,00$","437,00$",-1,"1561,00$"
"457, rue de la Parmentière",249000$,Beauport,Québec Rive-Nord,3,1,-1,1,"1,345",64.99x104.99,"2115,59$","341,34$","674,51$",-1
"11146-11148, avenue Royale",249000$,Beaupré,Québec Rive-Nord,6,2,-1,-1,-1,52x172,-1,"150,25$",-1,-1
"272, boulevard Coakley",249000$,Val-des-Sources,Estrie,-1,-1,-1,-1,-1,"40,045.08",-1,-1,-1,-1
rue des Spirée - Par Construction APP inc.,249000$,Pont-Rouge,Portneuf,2,1,-1,1,-1,-1,-1,-1,-1,-1
"28, rue Lacroix",249000$,Sayabec,Bas-Saint-Laurent,3,1,1,1,"1,435",45.78,"2294,09$","464,80$","219,00$","560,00$"
avenue du Sentier - À construire - Par Construction CJP Inc.,249000$,St-Raymond,Portneuf,3,2,-1,1,-1,-1,-1,-1,-1,-1
"15, impasse Lionel-Limoges",249000$,Gatineau (Hull),Outaouais,2,1,-1,1,778,"1,732.99","1757,99$","119,14$",-1,-1
chemin Val-Ombreuse,249000$,ND-Du-Laus,Laurentides,-1,-1,-1,-1,-1,"114,261.06",-1,-1,-1,-1
"146, rue Harold",249000$,Gatineau (Gatineau),Outaouais,2,1,-1,1,948,"4,048","2005,00$",-1,-1,-1
"408-524, Côte de l'Église",249000$,Boischatel,Québec Rive-Nord,2,1,-1,1,918,-1,"1940,54$","202,30$","645,77$",-1
"214, boulevard Saint-Louis",249000$,Val-des-Sources,Estrie,4,2,-1,1,"1,032","5,999.80","2208,12$","104,82$",-1,-1
"16430, avenue de la Concorde Sud",249000$,St-Hyacinthe,Montérégie (Rive-Sud Montréal),2,1,-1,1,1150,2945.01,"1507,41$","109,81$","600,00$","705,00$"
"3257, avenue des Églises",249000$,Charny,Québec Rive-Sud (Lévis),3,1,-1,2,"1,390.70","3,356.19","1820,00$","136,00$","600,00$","934,00$"
"324, rue Giffard",249000$,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,2,2,-1,1,800,"7,200","2781,76$","170,73$","2500,00$","1021,33$"
"109-111, 6e Avenue",249000$,Drummondville (Drummondville),Centre-du-Québec,4,2,-1,-1,-1,"5,000","1946,00$","115,00$","1537,00$","845,00$"
"1981, boulevard de la Grande Grève",249000$,Gaspé,Gaspésie-Îles-de-la-Madeleine,4,2,-1,-1,-1,80x175,"1775,54$","103,42$","2200,00$","1139,00$"
"413-2400, avenue de Lisieux",249000$,Beauport,Québec Rive-Nord,-1,1,-1,4,776,-1,"2119,00$","178,13$","763,56$",-1
"731, rue Notre-Dame",249000$,ND-Du-Bon-Conseil,Centre-du-Québec,3,2,-1,2,"1,566","8,016","1100,00$","87,03$","674,32$",-1
"2752, rue Couture",249000$,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,3,2,1,2,1417,4570.36,"2444,00$","153,00$","2852,00$",-1
"306, avenue Bonne Entente",249000$,Ste-Marie,Chaudière-Appalaches,3,2,-1,1,1120,96x80,"2527,94$","129,88$","707,75$","750,00$"
"3, rue de la Fabrique",249200$,Dosquet,Chaudière-Appalaches,2,1,-1,2,"1,380","10,043.80","1986,54$","274,71$","3726,71$","1564,00$"
"434-80, Grande Allée Est",249500$,St-Jean-Baptiste,Québec Rive-Nord,-1,1,-1,2,764.24,-1,"2236,70$","181,29$","820,48$","802,24$"
"8068, rue de Burgos",249500$,Lebourgneuf,Québec Rive-Nord,2,1,1,1,"1,104","1,472.27","2088,89$","354,07$","1020,00$","178,76$"
"360, rue de l'Améthyste",249600$,Alma,Saguenay-Lac-Saint-Jean,4,2,-1,1,884,"7,067","1988,00$","160,00$",-1,-1
"115, rue Principale",249900$,Rivière-Madeleine,Gaspésie-Îles-de-la-Madeleine,8,2,-1,-1,-1,-1,-1,-1,-1,-1
"105-517, rue Varennes",249900$,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),2,1,-1,3,846,-1,"1394,18$","218,26$","650,00$",-1
2700-2702 1ere avenue,249900$,St-Georges,Chaudière-Appalaches,6,4,-1,2,"2,660",68.60x97.18,"1992,00$","266,00$",-1,"1020,00$"
"29, rue Jennings - Par Construction C.R.D",249900$,Ste-Brigitte-De-Laval,Québec Rive-Nord,-1,1,-1,2,"1,280","3,229.17",-1,-1,-1,-1
"86, rue Leduc - Par Habitation Mégatech",249900$,Ste-Therese,Laurentides,-1,-1,-1,-1,-1,"4,815",-1,-1,-1,-1
coin rue Richard et Giroux - Par Construction APP inc.,249900$,Donnacona,Portneuf,2,1,-1,2,-1,-1,-1,-1,-1,-1
"105, chemin du Boisé - Par Terrain Dev Immobilier inc.",249900$,Lac-Beauport,Québec Rive-Nord,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"130-148, rue du Sureau - Par Construction APP inc.",249900$,Pont-Rouge,Portneuf,2,1,1,2,-1,-1,-1,-1,-1,-1
"1021, rue Irène-Sénécal",249900$,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,2,1,1,1,928.93,-1,"1100,00$","250,00$","1500,00$","490,00$"
"351, Rue Blainville Est - Par Les Constructions au Sommet JM Inc.",249900$,Ste-Therese,Laurentides,-1,-1,-1,-1,-1,"4,500",-1,-1,-1,-1
Modèle à construire - Boisé Natura - Par Construction CRD,249900$,Ste-Catherine-de-la-JC,Québec Rive-Nord,3,1,1,1,640,"6,000",-1,-1,-1,-1
"101-7700, rue Bouvier - VIDA Lasalle - PAR MONDEV",249900$,LaSalle,Montréal / l'Île,-1,1,-1,1,478,-1,-1,-1,-1,-1
", Chemin des Guides",249900$,Rivière-Rouge,Laurentides,-1,-1,-1,-1,-1,153251,-1,-1,-1,-1
"1922, avenue de la Gare",249999$,Mascouche,Lanaudière,-1,1,-1,1,584.48,-1,"1961,00$","116,00$",-1,-1
chemin de Marseille,250000$,Val-Des-Monts,Outaouais,-1,-1,-1,-1,-1,843.18x918.64,"250,00$","70,00$",-1,-1
"13, rue Tremblay",250000$,Baie-Trinite,Côte-Nord,5,4,1,2,"2,749.53","5,769.46","1618,25$","154,18$","311,00$",-1
"405-598, avenue 8e",250000$,Limoilou,Québec Rive-Nord,-1,1,-1,1,950,-1,"2396,16$","426,54$","915,00$",-1
"6458, rue Claudel",250000$,Brossard,Montérégie (Rive-Sud Montréal),-1,1,-1,1,557,-1,"1135,00$","256,00$","650,00$",-1
"204-2790, chemin des Quatre-Bourgeois",250000$,Ste-Foy,Québec Rive-Nord,-1,1,-1,1,526,-1,"1716,94$","196,39$",-1,-1
"2199, rue Saint-Hubert",250000$,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,6,3,-1,-1,-1,54.51,"3681,20$","177,92$",-1,"1715,00$"
", route Montcalm",250000$,Ste-Catherine-de-la-JC,Québec Rive-Nord,-1,-1,-1,-1,-1,"885,402.68",-1,-1,-1,-1
"55-57, rue des Grenats",250000$,St-Henri-de-Lévis,Chaudière-Appalaches,-1,-1,-1,-1,-1,"25,000","2400,00$","320,00$",-1,-1
"426, rue Bernard Levesque",250000$,Ste-Angèle-De-Merici,Bas-Saint-Laurent,11,2,-1,1,"2,452","96,000","1800,00$","350,00$","4000,00$",-1
"94, rue Saint-Jean Baptiste Est",250000$,Montmagny,Chaudière-Appalaches,-1,-1,-1,-1,-1,62.34x42.65,"4500,00$","440,00$",-1,"2400,00$"
"12, 10e Avenue Sud",250000$,St-Fabien,Bas-Saint-Laurent,3,2,-1,1,672,"9,747.80","1614,38$","79,32$","179,88$",-1
chemin du Tour-du-Lac-David Sud,250000$,Chute-St-Philippe,Laurentides,-1,-1,-1,-1,-1,"106,756.46","1039,00$","47,00$",-1,-1
"6954, Route 125",250000$,Rawdon,Lanaudière,3,1,-1,2,"1,325","22,500","1770,00$","119,00$",-1,"1700,00$"
"27, chemin des Bruants",250000$,Val-Des-Monts,Outaouais,-1,-1,-1,-1,-1,217x361,"1290,00$","108,00$",-1,-1
"1235, rue de Villemay",250000$,Lévis,Québec Rive-Sud (Lévis),2,1,1,1,"1,250",-1,-1,-1,-1,-1
rue du Carouge,250000$,St-Jérôme (Bellefeuille),Laurentides,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"1660, 109e Rue",250000$,Shawinigan (Shawinigan-Sud),Mauricie,3,1,-1,1,"1,143.13","15,409","2245,48$","93,81$","1200,00$","600,00$"
"108, rue Principale",250000$,ND-Du-Rosaire,Chaudière-Appalaches,6,4,-1,-1,-1,57090.46,"2816,51$","154,00$",-1,-1
"208, 2e rue Ouest",250000$,Rimouski (Rimouski),Bas-Saint-Laurent,6,2,-1,2,26.67x46.19,"5,500.36","2520,54$","171,73$","3320,00$","1500,00$"
"301, chemin du Lac-Archange",250000$,St-Tite,Mauricie,2,1,1,2,"1,760","20,871.22","969,74$","100,69$",-1,-1
"3607-3609-3611, boulevard du Saguenay",250000$,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,5,3,1,-1,-1,"4,850.22","3626,56$",-1,-1,-1
"20, rue Dupont",250000$,St-Côme,Lanaudière,3,1,-1,1,"1,101.15","46,152.42","1532,59$","100,00$","2000,00$","1200,00$"
"689, route 263",250000$,Ste-Cecile-De-Whitton,Estrie,5,2,-1,2,1404,24555,"1255,74$","59,76$","2700,00$","1042,29$"
"134, rue Jérémie-Beaulieu",250000$,Ste-Francoise,Bas-Saint-Laurent,2,-1,-1,-1,-1,"53,411","2197,00$",-1,-1,"4500,00$"
"40, rue Principale",250000$,Lac-Des-Aigles,Bas-Saint-Laurent,9,1,1,2,-1,"23,546","1080,55$","37,69$",-1,"2595,36$"
Promenade des Cervidés,250000$,Morin-Heights,Laurentides,-1,-1,-1,-1,-1,"89,253","1107,00$",-1,-1,-1
"6, 3e Avenue du Lac-Hardy",250000$,Ste-Christine-D&#039;Auvergne,Portneuf,2,2,-1,1,-1,"11,924.26","1133,89$","139,76$",-1,-1
"306-432, rue Notre-Dame",250000$,Repentigny (Repentigny),Lanaudière,-1,1,-1,1,583.40,-1,"1919,71$","157,42$","280,20$","575,52$"
"1676, rue Croft",250000$,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,2,1,-1,1,936,"6,249.07","2119,75$","120,68$","1405,20$","1075,83$"
"141, rue Allard",250000$,St-Léonard-D&#039;Aston,Centre-du-Québec,3,2,-1,1,"1,024","7,555","1800,00$",-1,"1200,00$","600,00$"
rang Saint-Édouard,250000$,St-Alexandre-De-Kamouraska,Bas-Saint-Laurent,-1,-1,-1,-1,-1,"1,691,419.36",-1,-1,-1,-1
"59, bigaouette",250000$,Limoilou,Québec Rive-Nord,-1,-1,-1,-1,-1,70.83x35.63,"14000,00$","230,00$",-1,-1
"1720, 82e Rue",250000$,St-Georges,Chaudière-Appalaches,3,1,-1,1,"1,070","6,452",-1,-1,-1,-1
"28, rue Saint-François-Xavier Est",250000$,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,4,1,-1,2,"1,382","17,168","2027,00$","110,00$",-1,-1
"160, rue Julien-Proulx",250000$,Trois-Rivières (Pointe-Du-Lac),Mauricie,4,1,-1,1,-1,6940,"2092,00$","117,00$",-1,-1
", rue Claude",250000$,St-Mathieu-De-Laprairie,Montérégie (Rive-Sud Montréal),-1,-1,-1,-1,-1,"11,485.09",-1,-1,-1,-1
chemin Vaillancourt,250000$,Eastman,Estrie,-1,-1,-1,-1,-1,"135,036.00",-1,-1,-1,-1
"28, rue des Plaines",250000$,St-Anselme,Chaudière-Appalaches,2,1,-1,1,960,"4,149.49","1915,00$","140,00$",-1,-1
chemin Larose,250000$,Montcalm,Laurentides,-1,-1,-1,-1,-1,"791,613.50",-1,-1,-1,-1
"660, avenue Jourdan",250000$,Alma,Saguenay-Lac-Saint-Jean,3,2,-1,1,920,6460.5,"1797,00$","150,00$","2500,00$","2150,00$"
"96, 14e avenue",250000$,Drummondville (Drummondville),Centre-du-Québec,3,2,-1,1,"1,064","5,000","1490,59$","104,21$","2099,98$","1260,00$"
"1916, rue Principale",250000$,St-Gilles,Chaudière-Appalaches,5,2,1,1,-1,"41,000",-1,-1,-1,-1
rue Vimy,250000$,St-Cesaire,Montérégie (Rive-Sud Montréal),-1,-1,-1,-1,-1,"8,490",-1,-1,-1,-1
"440, rue Saint-François",250000$,Portneuf,Portneuf,3,1,1,1,"1,142.18","5,767.31","2137,00$","139,00$","1140,00$",-1
", route 125",250000$,Entrelacs,Lanaudière,-1,-1,-1,-1,-1,363247,-1,-1,-1,-1
"., Rue Lambert-Binette - Par Construction Briand",251573$,Ste-Marthe-Sur-Le-Lac,Laurentides,2,1,-1,1,16x60,-1,-1,-1,-1,-1
"151, rue Saint-Regis",252000$,Dolbeau-Mistassini,Saguenay-Lac-Saint-Jean,3,1,1,1,720,"40,000","1200,00$","150,00$",-1,-1
"169, rue Principale",254000$,St-Apollinaire,Chaudière-Appalaches,4,2,1,1,-1,"13,595",-1,-1,-1,-1
"122, rue Laval",254000$,Rivière-Du-Loup,Bas-Saint-Laurent,3,1,-1,1,"1,120","9,016","2524,00$","145,00$",-1,-1
rue des Labours (par le chemin Harlaka) - QUARTIER LÉVIKA,254900$,Lévis,Québec Rive-Sud (Lévis),3,1,1,2,"1,276",-1,-1,-1,-1,-1
"261-261A, avenue Lambert",254900$,Beauceville,Chaudière-Appalaches,6,2,1,-1,-1,"17,388.02","3840,00$","123,00$","3200,00$",-1
rue Alice Campbell,254995$,Sherbrooke (Jacques-Cartier),Estrie,-1,-1,-1,-1,-1,12898,-1,-1,-1,-1
"102-556, avenue Joseph-Giffard",255000$,Beauport,Québec Rive-Nord,2,1,1,2,900,"10,234.33","2050,41$","415,00$","1200,00$","312,00$"
"2-767, rue Saint-Vallier Ouest",255000$,Saint-Sauveur,Québec Rive-Nord,3,1,-1,3,"1,133.44",30.09x85.01,"2334,00$","190,00$","960,00$",-1
"199, rue Principale Ouest",255000$,Dudswell,Estrie,-1,-1,-1,-1,-1,"11,140.65","1869,87$",-1,"4382,66$","4298,89$"
"570, rue Thibault",255000$,Wotton,Estrie,3,2,-1,1,"1,055.88","6,210","1982,80$","115,30$","2000,00$","1249,00$"
"26, rue Pie-XII",255000$,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,3,1,-1,2,"1,321",70.31x96.78,"1936,00$","113,00$","2075,00$","575,00$"
"607, rue Marmier",255000$,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),-1,1,-1,1,613,775.54,"1686,29$","152,94$","599,25$","2150,00$"
"111, rue Lamy",255000$,Victoriaville,Centre-du-Québec,3,2,-1,1,861.11,80x90,"1962,80$","99,60$","1600,00$",-1
"1, chemin des Érables",255000$,Desbiens,Saguenay-Lac-Saint-Jean,3,1,1,1,"1,000","10,000","2200,00$","600,00$","2500,00$","2000,00$"
"7405, rue Dansereau",255000$,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,3,1,1,1,900,"3,900","3014,31$","420,00$","100,00$","80,00$"
"106-2308, avenue Chapdelaine",255000$,Ste-Foy,Québec Rive-Nord,2,1,-1,1,900,-1,"1842,36$","312,00$","875,00$",-1
"201-537, boulevard Jacques-Cartier Est",255000$,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),-1,1,-1,3,22.15x29.07,-1,"1156,51$","106,73$","375,60$",-1
"1051, rue Jacques-Bédard",255000$,Charlesbourg (ND-Des-Laurentides),Québec Rive-Nord,2,1,-1,1,700,5013.83,"1859,07$","140,29$","2200,00$","431,00$"
"112-6966, boulevard Ste-Anne - Par Maisons Laprise",255900$,L&#039;Ange-Gardien,Québec Rive-Nord,2,1,1,1,-1,-1,-1,-1,-1,-1
"6448, rue des Immortelles",256000$,Charny,Québec Rive-Sud (Lévis),3,1,1,2,"1,069","3,811.5","2059,00$","195,00$",-1,-1
"338, rue Notre-Dame Ouest",257500$,Victoriaville,Centre-du-Québec,3,2,1,-1,-1,"3,229.17","4045,00$","301,00$",-1,-1
"195, chemin des Pionniers Est",258000$,L&#039;Islet (L&#039;Islet-Sur-Mer),Chaudière-Appalaches,5,4,-1,2,"2,400","12,694.96","1995,31$","397,83$","1750,00$",-1
"14, chemin de la Rivière",258000$,Chelsea,Outaouais,-1,-1,-1,-1,-1,"62,183","793,68$","71,64$",-1,-1
"2791, rue Henri-Paul-Milot",258000$,St-Paulin,Mauricie,2,2,-1,1,1120,18869,"2012,40$","113,05$","2400,00$",-1
"8590, boulevard Saint-Jacques",259000$,Neufchatel,Québec Rive-Nord,-1,1,-1,-1,895,14.76x134.51,"1615,50$","365,10$","1180,00$",-1
"814-3315, rue France-Prime",259000$,Ste-Foy,Québec Rive-Nord,3,2,1,1,988.13,70.45,"2334,00$","230,00$","720,00$",-1
"8215, boulevard Guillaume-Couture",259000$,Lévis,Québec Rive-Sud (Lévis),3,1,-1,1,696,"9,750","2147,00$","520,00$","2349,00$",-1
"106-285, rue Laurier",259000$,Gatineau (Hull),Outaouais,2,1,-1,1,900,237.9,"1985,00$","144,00$","950,00$","500,00$"
"J-1410, boulevard Pie-XI Nord",259000$,Val-Bélair,Québec Rive-Nord,3,1,1,2,"1,732",-1,"2259,96$","160,00$",-1,"728,00$"
"1035, rue Edmond-J.-Massicotte",259000$,Lévis,Québec Rive-Sud (Lévis),2,1,1,2,1069,4420.7,"2421,78$","210,61$",-1,-1
"338, montée Dinel",259000$,Chénéville,Outaouais,-1,-1,-1,-1,-1,"2,178,000.01",-1,-1,-1,-1
"1039, rue Edmond J Massicotte",259000$,Lévis,Québec Rive-Sud (Lévis),2,1,1,2,1069,3498.27,"2349,48$","206,81$",-1,-1
"80, 4e Avenue Est",259000$,La Sarre,Abitibi-Témiscamingue,2,-1,-1,-1,-1,14000,"3884,42$","265,00$","431,00$","3100,00$"
"14-8565, Place du Charpentier",259000$,Mirabel (St-Canut),Laurentides,2,1,-1,1,892.33,-1,"879,69$","112,04$","865,00$",-1
"352, avenue Saint-Jérôme",259000$,Matane,Bas-Saint-Laurent,-1,-1,-1,-1,-1,"4,660.77","3244,00$","95,00$","2363,00$","4000,00$"
"118, chemin de l'Île",259000$,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,-1,-1,-1,-1,-1,"56,900",-1,-1,-1,-1
"9, rue des Cheminots",259000$,Rivière-Du-Loup,Bas-Saint-Laurent,4,2,1,2,"1,164.66","2,723.27","2697,00$",-1,-1,-1
